storeid,storename,lat,lng
1,SAN MIGUEL FOOD CENTER INC,40.829061,-73.919613
2,FOOD PLAZA INC,40.854755,-73.902853
3,DELI GROCERY CORP,40.825105,-73.890589
4,LUNA DELI GROCERY CORP,40.827096,-73.905123
5,AJ DELI GROCERY CORP,40.850537,-73.907137
6,NEIGHBORHOOD CANDY GROCERY COR,40.882869,-73.881552
7,TINTON DELI GROCERY CORP,40.826607,-73.901498
8,WEBSTER PHARMACY INC,40.830425,-73.910630
9,GROCERY & DELI INC,40.829105,-73.866678
10,THREE BROTHERS ADELI GROCERY,40.836779,-73.925996
11,STRATFORD AVE INC,40.829671,-73.875621
12,CIRCLE DELI GROCERY INC,40.832689,-73.861145
13,MEAT FRUIT & VEGETABLE CORP,40.868830,-73.902627
14,176 MORRIS GROCERY CORP,40.848095,-73.908915
15,W 165 ST GROCERY CORP,40.834279,-73.928060
16,DELI & GROCERY CORP,40.831491,-73.875085
17,ROYALE GOURMET DELI AND GROC,40.830365,-73.891901
18,RIVERA GROCERY INC,40.837347,-73.917706
19,SHERIDAN DELI GROCERY CORP,40.836242,-73.914557
20,CARIBE CORP,40.849999,-73.913639
21,196TH STREET FOOD INC,40.868979,-73.895470
22,CANDY & SNACKS INC,40.816529,-73.887007
23,DELI GROCERY CORP,40.837851,-73.863729
24,MEAT MARKET INC,40.804903,-73.920809
25,OGDEN GROCERY CORP,40.841357,-73.924951
26,JEROME 99 CORP,40.839886,-73.917933
27,JULIO DELI GROCERY CORP,40.837847,-73.913060
28,GOURMET DELI CORP,40.810628,-73.924722
29,MIA DELI & GROCERY LLC,40.821391,-73.879708
30,GOURMET DELI INC,40.832447,-73.890790
31,TE AMO CONVENIENCE CORP,40.828480,-73.880354
32,WILLIS INC,40.815743,-73.918022
33,AURORA GROCERY CORP,40.844843,-73.909289
34,DELI & DISCOUNT INC,40.828569,-73.879276
35,ND STREET FOOD CORP,40.815213,-73.904145
36,VM GROCERY CORP,40.840160,-73.914034
37,FOOD MARKET & 99 CENT INC,40.845954,-73.921711
38,MACOMBS GROCERY DELI INC,40.843507,-73.917631
39,FOOD CORP,40.823916,-73.877403
40,NEW DELI CORP,,0.000000
41,555 DELI GROCERY INC,40.818727,-73.927761
42,666 DELI GROCERY CORP,40.819623,-73.913465
43,GOURMET DELI CORP,40.817619,-73.903762
44,CHESTER DELI GROCERY CORP,40.839948,-73.863917
45,GERARD CORP,40.825489,-73.926523
46,MATANZA DELI GROCERY INC,40.840171,-73.925
47,GROCERY AND DELI MARKET CORP,40.845725,-73.915205
48,BROTHER GROCERY LLC,40.829413,-73.874925
49,SHADDAD INC,40.822353,-73.909207
50,ASHLEY DELI GROCERY INC,40.823896,-73.908802
51,KING DELI INC,40.823747,-73.908894
52,ANDERSON SUPERETTE INC,40.833738,-73.926443
53,CHOI HAE S,40.829654,-73.917284
54,WOODYCREST GROCERY INC,40.833953,-73.927068
55,QUICK STOP GROCERY INC,40.830893,-73.917586
56,ALAHANSHALI ABUBAKER,40.831594,-73.918834
57,A-E DELI GORCERY CORP,40.843673,-73.906781
58,DELI GROCERY CORP,40.824853,-73.870342
59,SUPERIOR MARKET INC,40.838298,-73.924567
60,GREEN MOUNTAIN GROCERY & DELI LLC,40.875264,-73.885275
61,GROCERY CORP,40.843551,-73.866608
62,ALBADHI MOHAMED & BINMAH FOOD ABU,40.838902,-73.914529
63,LOS SOCIO CORP,40.848449,-73.918032
64,WEST CORP,40.853963,-73.914754
65,GROCERY AND CANDY CORP,40.832581,-73.869149
66,SALEH ALAWALQI,40.837167,-73.887149
67,WESTCHESTER GRCRY&CANDY CORP,40.831669,-73.867099
68,GOURMET DELI CORP,40.852254,-73.910754
69,LOS PRIMOS GROCERY CORP,40.842138,-73.894176
70,UP FOOD PRODUCT CORP,40.838600,-73.916700
71,SAN MIGUEL GROCERY INC,40.838029,-73.867443
72,BUS STOP DELI INC,40.847981,-73.888520
73,CANDY GROCERY TOBACCO CORP,40.850563,-73.893769
74,EXPRESS DELI CORP,40.844828,-73.882106
75,LA DELI GROCERY CORP,40.832816,-73.918213
76,PENA JUAN B,40.837853,-73.927698
77,ST CANDY & DELI CORP,40.854775,-73.902970
78,ND ST DELI GROCERY CORP,40.848591,-73.883632
79,WILLIS DELI & GROCERY CORP,40.807698,-73.923930
80,GOLD FISH MARKET CORP,40.858549,-73.904438
81,RD FOOD CENTER CORP,40.858505,-73.904303
82,WESTCHESTER GROCERY & CANDY,40.832573,-73.863977
83,BAHAGA OUSMAN K,40.860542,-73.902422
84,ST CONVENIENCE SHOP INC,40.854780,-73.886000
85,ONE STOP ENTERPRISES INC,40.832856,-73.863112
86,-98 GOURMET DELI INC,40.850010,-73.910714
87,ERIDANIA CORP,40.849525,-73.909307
88,PARK DELI GROCERY CORP,40.864359,-73.903925
89,VALENTINE DELI CORP,40.861159,-73.897082
